monthid,cusip,noOfMAActivity
47,629430,8
47,838518,1
49,191216,1
63,501044,1
65,115637,1
68,646025,2
72,22542Z,1
72,90449I,1
73,527288,9
74,302491,5
74,36239V,1
74,46145M,1
74,485170,1
74,693912,1
74,90449I,1
76,478160,2
76,81572I,2
77,361448,4
78,680665,2
78,913903,2
79,142339,1
79,501044,3
79,571748,1
79,918204,2
80,099467,1
80,674599,2
81,370334,2
81,883556,1
81,889478,1
82,46145M,7
83,165339,1
83,382550,3
83,415864,1
83,419596,1
83,46145M,1
83,775133,1
83,814823,5
83,929160,2
84,002440,2
84,191216,2
84,268039,13
84,674599,1
84,814823,1
86,459200,2
87,359590,2
87,42550N,3
87,433578,2
87,46145M,3
87,678492,2
88,152342,2
88,487836,3
88,532457,3
89,191216,2
89,860630,1
90,458140,1
90,46145M,1
90,50121Q,5
90,75280Q,1
91,191216,3
91,257651,2
91,303711,2
91,384109,3
91,46145M,1
91,674599,2
92,05217Q,1
92,209291,7
92,46145M,10
92,49121L,22
93,194162,2
93,651639,2
93,693506,2
94,125896,2
94,126501,2
94,127055,1
94,127190,2
94,134429,1
94,149123,1
94,200340,1
94,229669,2
94,257867,1
94,260003,1
94,278865,1
94,303711,1
94,313855,1
94,315405,1
94,384802,2
94,459200,2
94,460690,2
94,46145M,1
94,466032,1
94,489170,1
94,494368,1
94,505336,3
94,524660,1
94,526057,1
94,548661,1
94,552676,1
94,553777,1
94,571748,3
94,574599,1
94,591520,1
94,617446,1
94,620076,1
94,637215,1
94,654106,1
94,666807,1
94,713448,3
94,724479,1
94,742718,1
94,749607,1
94,770323,1
94,775133,3
94,784117,48
94,816300,1
94,831865,2
94,844741,1
94,854231,1
94,879369,1
94,880345,1
94,883556,2
94,889478,1
94,920253,1
94,942622,1
94,942749,1
94,969457,1
94,978097,2
95,201723,1
95,248019,1
95,320867,1
95,345370,2
95,369604,1
95,406216,1
95,46145M,1
95,488152,1
95,655844,2
95,754730,1
96,303711,1
96,353514,1
96,460690,2
96,806857,1
96,902494,1
96,950755,2
97,247361,2
97,370334,2
97,650111,3
98,06532Q,3
98,115637,2
99,00715Q,2
99,46145M,6
99,579780,3
100,40623Q,2
100,46145I,1
100,485170,1
100,90449I,1
100,978097,1
101,117043,2
101,363576,2
101,46145M,2
101,497266,3
101,81572I,3
102,461449,1
102,478160,2
102,655663,1
102,743315,2
102,987425,3
103,46145Z,3
103,761522,2
103,780287,1
103,854231,2
103,90449I,2
104,361428,2
104,778296,3
104,833034,1
104,844741,2
105,126408,3
105,237415,3
105,459200,2
105,50025Q,5
105,501044,6
105,754730,1
105,806857,2
106,04231F,6
106,126408,2
106,14310Q,15
106,229669,3
106,37462Q,1
106,46145M,1
106,50025Q,2
106,770323,2
106,90449I,3
107,127055,3
107,235851,1
107,29216Q,2
107,50025Q,1
107,665859,2
107,81572I,2
108,233829,1
108,278265,2
108,369622,3
108,41133F,5
108,497266,2
108,579780,2
108,717081,5
108,808513,3
108,831865,3
108,865610,1
109,125896,1
109,171340,1
109,29216Q,6
109,303711,2
109,460690,3
109,46145M,1
109,571748,1
109,655663,1
109,693506,2
109,806857,1
109,904677,2
110,28473Q,1
110,29216Q,2
110,46145M,2
110,754212,2
110,770323,2
110,778296,3
110,783549,2
110,880345,1
110,883556,2
110,90449I,1
111,084670,2
111,29216Q,3
111,345370,2
111,461449,2
111,46145M,8
111,548661,1
111,784635,4
112,117043,1
112,127055,1
112,12776Q,1
112,216648,7
112,219327,1
112,29216Q,4
112,46145I,1
112,487836,1
112,693718,1
112,81211K,2
112,81572I,18
112,854231,1
112,907818,4
113,066545,7
113,29216Q,3
113,41384R,6
113,46145M,1
113,680665,1
113,784117,3
113,81949M,4
113,90449I,1
113,919794,1
114,144285,2
114,194162,1
114,200525,1
114,29216Q,3
114,42339V,1
114,461449,1
114,46145I,2
114,46145M,4
114,46621Q,1
114,81572I,1
114,865621,1
114,883203,1
114,90449I,2
115,00724F,2
115,231021,1
115,247361,3
115,29216Q,4
115,363576,1
115,456140,10
115,460146,1
115,46145M,3
115,535555,1
115,693475,1
115,81572I,2
115,871004,2
115,894650,2
115,918204,3
115,934436,2
116,260003,2
116,29216Q,1
116,446150,2
116,546347,1
116,860630,1
116,95810M,1
117,00724F,1
117,189054,1
117,46145I,1
117,579780,1
117,594918,2
117,606848,3
117,72424N,3
117,816300,2
117,885160,1
118,125896,2
118,191216,4
118,29216Q,1
118,315405,1
118,406216,1
118,459200,2
118,46145M,19
118,546347,1
118,655844,3
118,81572I,2
118,829292,2
118,84156Q,2
118,918204,1
119,201723,1
119,359694,2
119,369604,9
119,426281,1
119,461449,1
119,46145M,3
119,465640,1
119,553777,1
119,844741,2
119,887389,2
119,958102,1
119,97809Q,1
120,14310Q,6
120,278865,2
120,360271,2
120,369550,2
120,42550Z,1
120,46145M,1
120,650111,2
120,680033,1
120,691497,1
120,695114,12
120,770323,1
120,883556,3
120,978097,2
121,216648,1
121,29216Q,5
121,461449,3
121,46145M,2
121,574599,1
121,617446,2
121,62917T,1
121,688239,2
121,693475,2
121,82707Q,4
121,913456,2
122,04344F,1
122,126501,1
122,29216Q,2
122,418056,1
122,485170,1
122,883556,2
122,894650,3
122,981811,2
123,007903,5
123,192479,1
123,38141Q,1
123,826681,2
123,90449I,2
124,04460Q,1
124,08556C,1
124,219327,2
124,246136,1
124,29216V,1
124,427866,2
124,46145M,10
124,487836,1
124,532457,1
124,651192,6
124,817565,1
124,854231,2
124,883203,3
125,156782,1
125,29216Q,1
125,46145M,4
125,57059B,1
125,577081,2
125,615394,2
125,865617,1
126,019037,2
126,23380I,4
126,461449,3
126,46145M,3
126,540424,1
126,594918,4
126,606827,2
126,808513,3
127,216648,1
127,29216Q,2
127,345370,4
127,360271,1
127,363576,1
127,37732T,1
127,445658,2
127,46145M,3
127,483548,1
127,501173,2
127,691497,1
127,844741,1
127,880370,2
128,235851,1
128,257867,1
128,372460,1
128,418056,3
128,419596,1
128,44439Q,1
128,458140,15
128,46145I,1
128,46145M,13
128,488152,2
128,534187,1
128,579780,2
128,589433,1
128,655844,2
