,ls_ret,value,cumulative_ret,MKTRF,SMB,HML,RF,MOM,DATE,yyyymm,ls_sub_rf
198004,0.03568739828187971,6911877.125,1.0356873982818797,0.0397,0.0105,0.0106,0.0126,-0.0043,1980-04-30,198004,0.02308739828187971
198005,-0.00646322111909587,1896444.875,1.0289935216165227,0.0526,0.0213,0.0038,0.008100000000000001,-0.011200000000000002,1980-05-30,198005,-0.014563221119095872
198006,0.0476270893899103,2229881.0,1.0780014880521913,0.030600000000000002,0.0166,-0.0076,0.0060999999999999995,0.016200000000000003,1980-06-30,198006,0.0415270893899103
198007,0.07551953254733233,4896459.5,1.1594116565152215,0.0649,0.0414,-0.0641,0.0053,0.0039000000000000003,1980-07-31,198007,0.07021953254733233
198008,0.05087547177182772,6713958.875,1.2183972715181899,0.018000000000000002,0.0392,-0.026000000000000002,0.0064,0.0321,1980-08-29,198008,0.044475471771827715
198009,0.0562244742953529,1997731.625,1.2869010175921924,0.0219,0.0098,-0.045899999999999996,0.0075,0.053899999999999997,1980-09-30,198009,0.0487244742953529
198010,0.050227442756295176,12929762.0,1.3515387647863224,0.0106,0.024700000000000003,-0.0276,0.0095,0.073,1980-10-31,198010,0.040727442756295175
198011,-0.020984617217133496,12572131.375,1.323177241153164,0.0959,-0.0336,-0.0833,0.0096,0.1522,1980-11-28,198011,-0.030584617217133493
198012,0.06729586258006745,3556022.125,1.41222159494288,-0.0452,-0.0026,0.0279,0.0131,-0.0668,1980-12-31,198012,0.05419586258006745
198101,0.04583628634766985,15315928.0,1.4769525883550447,-0.0504,0.0292,0.0672,0.0104,-0.0795,1981-01-30,198101,0.03543628634766985
198102,-0.061976017546839984,7714706.25,1.3854169488233017,0.005699999999999999,-0.0034000000000000002,0.0102,0.010700000000000001,-0.013500000000000002,1981-02-27,198102,-0.07267601754683999
198103,-0.009378213807940516,10169913.0,1.3724242124640922,0.0356,0.0354,0.0064,0.0121,0.0074,1981-03-31,198103,-0.021478213807940516
198104,-0.011890865676105061,2441271.375,1.3561049005030474,-0.021099999999999997,0.044000000000000004,0.022799999999999997,0.0108,-0.0091,1981-04-30,198104,-0.022690865676105062
198105,0.0257316395873204,7304786.25,1.390999703045391,0.0011,0.02,-0.0042,0.0115,0.037000000000000005,1981-05-29,198105,0.014231639587320401
198106,-0.009024867521865015,9287195.125,1.3784461150024527,-0.0236,-0.0083,0.0513,0.013500000000000002,-0.0581,1981-06-30,198106,-0.022524867521865017
198107,-0.07694594220568737,4838950.125,1.2723802799038197,-0.0154,-0.0219,-0.005,0.0124,-0.0245,1981-07-31,198107,-0.08934594220568737
198108,0.02228013384155928,7878060.0,1.3007290828374374,-0.0704,-0.0195,0.047599999999999996,0.0128,-0.0115,1981-08-31,198108,0.00948013384155928
198109,-0.06586264465004205,11853158.125,1.21505962546854,-0.0717,-0.0265,0.051699999999999996,0.0124,0.0195,1981-09-30,198109,-0.07826264465004204
198110,0.09635162176564328,5139036.75,1.3321325909243888,0.0492,0.0223,-0.0421,0.0121,0.0401,1981-10-30,198110,0.08425162176564328
198111,0.05535747509981901,6417182.375,1.405876087656143,0.0336,-0.0103,0.0183,0.010700000000000001,-0.0027,1981-11-30,198111,0.04465747509981901
198112,0.029444457381032376,6451619.25,1.4472713462021467,-0.0365,0.012,0.008100000000000001,0.0087,0.013000000000000001,1981-12-31,198112,0.020744457381032377
198201,-0.0026494182646274456,7885179.625,1.4434369190636467,-0.032400000000000005,-0.0128,0.0319,0.008,0.0172,1982-01-29,198201,-0.010649418264627446
198202,-0.07996204045290745,5463584.375,1.3280167577502593,-0.058600000000000006,0.0044,0.0605,0.0092,0.048799999999999996,1982-02-26,198202,-0.08916204045290745
198203,-0.14026539924088866,6933276.375,1.1417419570258287,-0.0187,-0.0021,0.0381,0.0098,0.0296,1982-03-31,198203,-0.15006539924088866
198204,0.0745896631036885,6376220.25,1.226904104951731,0.0327,0.0147,-0.027000000000000003,0.0113,-0.004,1982-04-30,198204,0.0632896631036885
198205,-0.026966161870708043,6257319.0,1.1938192102577665,-0.039900000000000005,0.0052,0.0175,0.0106,0.025,1982-05-28,198205,-0.03756616187070804
198206,-0.019419416901655502,6876646.125,1.1706359373085657,-0.030899999999999997,-0.004,0.015300000000000001,0.0096,0.0496,1982-06-30,198206,-0.0290194169016555
198207,-0.0011915691817800111,17000047.25,1.1692410436025846,-0.0319,0.0083,0.0009,0.0105,0.044500000000000005,1982-07-30,198207,-0.011691569181780012
198208,0.11167805828154088,21445306.375,1.2998196130152038,0.1114,-0.0414,0.0095,0.0076,-0.0352,1982-08-31,198208,0.10407805828154089
198209,0.058246680162846995,12525815.5,1.3755297902838959,0.0129,0.029500000000000002,0.0028000000000000004,0.0051,0.04190000000000001,1982-09-30,198209,0.053146680162846995
198210,0.038926876770953314,14130318.0,1.4290748689250525,0.113,0.023399999999999997,-0.0366,0.0059,0.0018,1982-10-29,198210,0.03302687677095331
198211,-0.005208912421949166,10532669.5625,1.4216309430884133,0.0467,0.0467,-0.0187,0.0063,0.059500000000000004,1982-11-30,198211,-0.011508912421949166
198212,-0.053454960696399184,34390274.46875,1.3456377169008373,0.0055000000000000005,-0.0022,-0.0002,0.0067,0.0004,1982-12-31,198212,-0.06015496069639918
198301,0.05379037450378141,32031976.875,1.4180200736393467,0.036000000000000004,0.0273,-0.0075,0.0069,-0.0173,1983-01-31,198301,0.046890374503781404
198302,0.05818846154337131,9852136.75,1.500532480162038,0.0259,0.0327,0.006999999999999999,0.0062,0.0377,1983-02-28,198302,0.05198846154337131
198303,0.012943110661581152,14524170.375,1.5199540381040721,0.0282,0.0173,0.0202,0.0063,0.0092,1983-03-31,198303,0.006643110661581152
198304,-0.0049941854418388346,11806284.125,1.5123631057747087,0.0667,0.005,0.0049,0.0070999999999999995,0.0172,1983-04-29,198304,-0.012094185441838833
198305,0.06483393837697801,17935863.25,1.6104155621781213,0.0052,0.062400000000000004,-0.013999999999999999,0.0069,-0.015600000000000001,1983-05-31,198305,0.05793393837697801
198306,0.04544491640159063,12332870.125,1.6836007627731266,0.030699999999999998,0.0095,-0.039,0.0067,0.018000000000000002,1983-06-30,198306,0.03874491640159063
198307,0.05148531659506254,17663152.375,1.77028148106419,-0.0407,0.015,0.0562,0.0074,-0.0313,1983-07-29,198307,0.04408531659506254
198308,0.0062599070733994865,39953334.125,1.781363278629412,-0.005,-0.042800000000000005,0.0554,0.0076,-0.054299999999999994,1983-08-31,198308,-0.0013400929266005135
198309,0.044645094429142704,44761675.9375,1.8608924104164295,0.0091,0.0060999999999999995,0.0101,0.0076,-0.0003,1983-09-30,198309,0.0370450944291427
198310,-0.01902589954746265,51122087.5,1.8254872583472108,-0.0344,-0.035699999999999996,0.049699999999999994,0.0076,-0.0452,1983-10-31,198310,-0.02662589954746265
198311,0.13631815080427462,13367742.375,2.0743343057218677,0.0216,0.020099999999999996,-0.0072,0.006999999999999999,-0.0013,1983-11-30,198311,0.1293181508042746
198312,0.0031518225247661328,13378554.75,2.080872239310537,-0.0178,-0.0027,0.0173,0.0073,0.0084,1983-12-30,198312,-0.004148177475233867
198401,0.114565707432727,10592738.5625,2.3192688394842715,-0.0192,-0.0038,0.0758,0.0076,-0.0256,1984-01-31,198401,0.106965707432727
198402,-0.02331449463963508,47457466.75,2.265196258558243,-0.0482,-0.0169,0.0333,0.0070999999999999995,0.0022,1984-02-29,198402,-0.030414494639635078
198403,0.022197763508302104,36559257.75,2.3154785494056096,0.0063,0.0007000000000000001,0.0046,0.0073,0.010700000000000001,1984-03-30,198403,0.014897763508302103
198404,-0.0064265686087310245,13048348.375,2.3005979676458095,-0.0051,-0.0116,0.012,0.008100000000000001,0.0207,1984-04-30,198404,-0.014526568608731026
198405,0.03176087213214483,25145879.5,2.37366696552368,-0.059699999999999996,0.0006,0.0031,0.0078000000000000005,0.0151,1984-05-31,198405,0.02396087213214483
198406,0.001935356296598939,22594534.125,2.378260856831435,0.0182,-0.003,-0.026600000000000002,0.0075,-0.006999999999999999,1984-06-29,198406,-0.005564643703401061
198407,-0.08762365300208329,14911910.125,2.1698689527640003,-0.0274,-0.022099999999999998,0.0036,0.008199999999999999,0.0285,1984-07-31,198407,-0.09582365300208329
198408,0.06181731157832676,37138809.0,2.30400441790115,0.10279999999999999,-0.0024,-0.0182,0.0083,-0.0559,1984-08-31,198408,0.05351731157832676
198409,-0.0647045632617341,8066801.875,2.1549248182877503,-0.008,0.0017000000000000001,0.0528,0.0086,0.0362,1984-09-28,198409,-0.0733045632617341
198410,-0.0773249372012085,45858764.125,1.9882953920403243,-0.0084,-0.0123,0.0045000000000000005,0.01,0.0316,1984-10-31,198410,-0.0873249372012085
198411,0.068742121479267,16442312.1875,2.124975035416627,-0.0176,-0.006500000000000001,0.0406,0.0073,0.016399999999999998,1984-11-30,198411,0.061442121479267
198412,0.01434829755453395,30548344.125,2.155464809520741,0.0184,-0.005600000000000001,-0.0026,0.0064,0.0149,1984-12-31,198412,0.00794829755453395
