,ls_ret,value,cumulative_ret,MKTRF,SMB,HML,RF,MOM,DATE,yyyymm,ls_sub_rf
198004,0.03568739828187971,6911877.125,1.0356873982818797,0.0397,0.0105,0.0106,0.0126,-0.0043,1980-04-30,198004,0.02308739828187971
198005,-0.00646322111909587,1896444.875,1.0289935216165227,0.0526,0.0213,0.0038,0.008100000000000001,-0.011200000000000002,1980-05-30,198005,-0.014563221119095872
198006,0.0476270893899103,2229881.0,1.0780014880521913,0.030600000000000002,0.0166,-0.0076,0.0060999999999999995,0.016200000000000003,1980-06-30,198006,0.0415270893899103
198007,0.10638685605954379,3749020.375,1.1926866771935738,0.0649,0.0414,-0.0641,0.0053,0.0039000000000000003,1980-07-31,198007,0.10108685605954379
198008,0.05087547177182772,6713958.875,1.2533651745717707,0.018000000000000002,0.0392,-0.026000000000000002,0.0064,0.0321,1980-08-29,198008,0.044475471771827715
198009,0.061099599425991365,2028376.0,1.3299452846725934,0.0219,0.0098,-0.045899999999999996,0.0075,0.053899999999999997,1980-09-30,198009,0.053599599425991365
198010,0.05154638923704623,14628001.375,1.398499161980301,0.0106,0.024700000000000003,-0.0276,0.0095,0.073,1980-10-31,198010,0.042046389237046226
198011,0.035167545235405315,11871048.125,1.4476809445209196,0.0959,-0.0336,-0.0833,0.0096,0.1522,1980-11-28,198011,0.025567545235405317
198012,0.08376735982892565,4069747.625,1.5689493551180824,-0.0452,-0.0026,0.0279,0.0131,-0.0668,1980-12-31,198012,0.07066735982892565
198101,-0.00448048359248787,16747745.625,1.5619197032750314,-0.0504,0.0292,0.0672,0.0104,-0.0795,1981-01-30,198101,-0.01488048359248787
198102,-0.04116631023741017,7935925.5,1.4976212322040878,0.005699999999999999,-0.0034000000000000002,0.0102,0.010700000000000001,-0.013500000000000002,1981-02-27,198102,-0.051866310237410174
198103,0.015137915685772857,9964889.5,1.5202920961464166,0.0356,0.0354,0.0064,0.0121,0.0074,1981-03-31,198103,0.0030379156857728573
198104,-0.011890865676105065,2441271.375,1.5022145070426953,-0.021099999999999997,0.044000000000000004,0.022799999999999997,0.0108,-0.0091,1981-04-30,198104,-0.022690865676105065
198105,0.0257316395873204,7304786.25,1.5408689493207621,0.0011,0.02,-0.0042,0.0115,0.037000000000000005,1981-05-29,198105,0.014231639587320401
198106,0.015233017171600048,9294025.625,1.5643410324849505,-0.0236,-0.0083,0.0513,0.013500000000000002,-0.0581,1981-06-30,198106,0.0017330171716000466
198107,-0.07694594220568737,4838950.125,1.4439713378093781,-0.0154,-0.0219,-0.005,0.0124,-0.0245,1981-07-31,198107,-0.08934594220568737
198108,0.02282376098446546,8021529.75,1.4769281944919583,-0.0704,-0.0195,0.047599999999999996,0.0128,-0.0115,1981-08-31,198108,0.010023760984465458
198109,-0.06882640216499566,12036683.125,1.375276540609034,-0.0717,-0.0265,0.051699999999999996,0.0124,0.0195,1981-09-30,198109,-0.08122640216499566
198110,0.09635162176564328,5139036.75,1.507786665672958,0.0492,0.0223,-0.0421,0.0121,0.0401,1981-10-30,198110,0.08425162176564328
198111,0.07023095871720994,6436592.625,1.613679968744195,0.0336,-0.0103,0.0183,0.010700000000000001,-0.0027,1981-11-30,198111,0.05953095871720994
198112,0.029444457381032376,6451619.25,1.6611938998105091,-0.0365,0.012,0.008100000000000001,0.0087,0.013000000000000001,1981-12-31,198112,0.020744457381032377
198201,-0.002649418264627448,7885179.625,1.6567927023512634,-0.032400000000000005,-0.0128,0.0319,0.008,0.0172,1982-01-29,198201,-0.01064941826462745
198202,-0.030757021469374472,5561258.0,1.6058346936347427,-0.058600000000000006,0.0044,0.0605,0.0092,0.048799999999999996,1982-02-26,198202,-0.03995702146937447
198203,-0.14026539924088866,6933276.375,1.3805916492171955,-0.0187,-0.0021,0.0381,0.0098,0.0296,1982-03-31,198203,-0.15006539924088866
198204,0.0686515891109593,8081207.375,1.4753714598492762,0.0327,0.0147,-0.027000000000000003,0.0113,-0.004,1982-04-30,198204,0.0573515891109593
198205,-0.0529401871996621,6250910.0,1.3972650185758169,-0.039900000000000005,0.0052,0.0175,0.0106,0.025,1982-05-28,198205,-0.0635401871996621
198206,-0.018130190243634103,7061993.0,1.3719323379682622,-0.030899999999999997,-0.004,0.015300000000000001,0.0096,0.0496,1982-06-30,198206,-0.0277301902436341
198207,0.0030361584698160513,18622536.25,1.376097741956199,-0.0319,0.0083,0.0009,0.0105,0.044500000000000005,1982-07-30,198207,-0.007463841530183949
198208,0.0928288514592818,21148692.875,1.5038393148377043,0.1114,-0.0414,0.0095,0.0076,-0.0352,1982-08-31,198208,0.0852288514592818
198209,0.07135128751397127,10040346.625,1.6111401861655028,0.0129,0.029500000000000002,0.0028000000000000004,0.0051,0.04190000000000001,1982-09-30,198209,0.06625128751397127
198210,0.038926876770953314,14130318.0,1.6738568416530983,0.113,0.023399999999999997,-0.0366,0.0059,0.0018,1982-10-29,198210,0.03302687677095331
198211,-0.05914035637397315,10158417.625,1.5748643515187208,0.0467,0.0467,-0.0187,0.0063,0.059500000000000004,1982-11-30,198211,-0.06544035637397315
198212,-0.04714182950556276,31962045.28125,1.5006223647650365,0.0055000000000000005,-0.0022,-0.0002,0.0067,0.0004,1982-12-31,198212,-0.05384182950556276
198301,0.05379037450378141,32031976.875,1.5813414037544977,0.036000000000000004,0.0273,-0.0075,0.0069,-0.0173,1983-01-31,198301,0.046890374503781404
198302,0.0424482538364828,9653689.75,1.6484665850632085,0.0259,0.0327,0.006999999999999999,0.0062,0.0377,1983-02-28,198302,0.0362482538364828
198303,0.008463675389066345,14249308.875,1.6624186711289062,0.0282,0.0173,0.0202,0.0063,0.0092,1983-03-31,198303,0.0021636753890663454
198304,-0.01971401373988814,8874809.375,1.6296457266048243,0.0667,0.005,0.0049,0.0070999999999999995,0.0172,1983-04-29,198304,-0.026814013739888138
198305,0.07946906940612408,17918318.75,1.7591521559597765,0.0052,0.062400000000000004,-0.013999999999999999,0.0069,-0.015600000000000001,1983-05-31,198305,0.07256906940612408
198306,0.03653579178665363,6590549.25,1.8234241728509655,0.030699999999999998,0.0095,-0.039,0.0067,0.018000000000000002,1983-06-30,198306,0.029835791786653628
198307,0.05900058476254335,13840359.125,1.9310072653193295,-0.0407,0.015,0.0562,0.0074,-0.0313,1983-07-29,198307,0.05160058476254335
198308,-0.037350904887716786,40520694.125,1.8588823966148973,-0.005,-0.042800000000000005,0.0554,0.0076,-0.054299999999999994,1983-08-31,198308,-0.04495090488771679
198309,0.04464509442914272,44761675.9375,1.9418723767444406,0.0091,0.0060999999999999995,0.0101,0.0076,-0.0003,1983-09-30,198309,0.037045094429142715
198310,-0.0408335098117176,51682570.0,1.862578911995543,-0.0344,-0.035699999999999996,0.049699999999999994,0.0076,-0.0452,1983-10-31,198310,-0.0484335098117176
198311,0.1363181508042746,13367742.375,2.116482225005813,0.0216,0.020099999999999996,-0.0072,0.006999999999999999,-0.0013,1983-11-30,198311,0.12931815080427458
198312,0.0031518225247661328,13378554.75,2.1231530013558535,-0.0178,-0.0027,0.0173,0.0073,0.0084,1983-12-30,198312,-0.004148177475233867
198401,0.07404466211381883,11046214.0625,2.280361147957188,-0.0192,-0.0038,0.0758,0.0076,-0.0256,1984-01-31,198401,0.06644466211381883
198402,-0.046990804788139114,18150575.5,2.173205142407075,-0.0482,-0.0169,0.0333,0.0070999999999999995,0.0022,1984-02-29,198402,-0.054090804788139116
198403,0.032326127475243945,38160311.0,2.243456448870382,0.0063,0.0007000000000000001,0.0046,0.0073,0.010700000000000001,1984-03-30,198403,0.025026127475243944
198404,-0.004103641025722027,13186011.0,2.2342501089473767,-0.0051,-0.0116,0.012,0.008100000000000001,0.0207,1984-04-30,198404,-0.012203641025722028
198405,0.01697598432656374,25507560.0,2.272178703778491,-0.059699999999999996,0.0006,0.0031,0.0078000000000000005,0.0151,1984-05-31,198405,0.00917598432656374
198406,0.001935356296598939,22594534.125,2.2765761791398464,0.0182,-0.003,-0.026600000000000002,0.0075,-0.006999999999999999,1984-06-29,198406,-0.005564643703401061
198407,-0.10187140922062098,12836732.5,2.0446581555727734,-0.0274,-0.022099999999999998,0.0036,0.008199999999999999,0.0285,1984-07-31,198407,-0.11007140922062097
198408,0.03607944026589395,41965257.0,2.118428277360934,0.10279999999999999,-0.0024,-0.0182,0.0083,-0.0559,1984-08-31,198408,0.027779440265893948
198409,-0.05406583204037612,8071857.875,2.0038936899275543,-0.008,0.0017000000000000001,0.0528,0.0086,0.0362,1984-09-28,198409,-0.06266583204037612
198410,-0.08302707059515843,47156353.875,1.8375162670687468,-0.0084,-0.0123,0.0045000000000000005,0.01,0.0316,1984-10-31,198410,-0.09302707059515843
198411,0.06874212147926702,16442312.1875,1.9638310335197158,-0.0176,-0.006500000000000001,0.0406,0.0073,0.016399999999999998,1984-11-30,198411,0.06144212147926702
198412,0.021339663479011547,38758388.25,2.0057385269046657,0.0184,-0.005600000000000001,-0.0026,0.0064,0.0149,1984-12-31,198412,0.014939663479011548
